clust_id,ScanLabel,ROILabel,SegmentLabel,channel,type,CYP1A2,CYP2E1,CYP3A4,x_axis,X_position,Y_position
3,MIPCC-DSP-A-20220222C-01,2,Full ROI,Liver Zone,Zone 3,132.21,818.85,80.18,2.458015343,26912,24305
3,MIPCC-DSP-A-20220222C-01,3,Full ROI,Liver Zone,Zone 3,117.28,927.34,94.63,2.45453246,26867,24276
2,MIPCC-DSP-A-20220222C-01,4,Full ROI,Liver Zone,Zone 2,67.32,890.78,71,1.554093642,26572,23905
2,MIPCC-DSP-A-20220222C-01,5,Full ROI,Liver Zone,Zone 2,19.3,546.8,19.53,1.42073356,26008,23308
1,MIPCC-DSP-A-20220222C-01,6,Full ROI,Liver Zone,Zone 1,15.52,403.28,19.11,0.441449874,25778,22864
1,MIPCC-DSP-A-20220222C-01,7,Full ROI,Liver Zone,Zone 1,47.73,700.59,40.83,0.420649608,25456,22090
3,MIPCC-DSP-A-20220222C-01,16,Full ROI,Liver Zone,Zone 3,122.67,858.66,67.43,2.475355776,27853,44984
3,MIPCC-DSP-A-20220222C-01,17,Full ROI,Liver Zone,Zone 3,58.97,743.57,43.39,2.457787346,27733,45350
2,MIPCC-DSP-A-20220222C-01,18,Full ROI,Liver Zone,Zone 2,78.34,809.2,49.83,1.407623458,27689,45746
3,MIPCC-DSP-A-20220222C-01,21,Full ROI,Liver Zone,Zone 3,98.94,710.81,44.35,2.425074842,16357,48999
3,MIPCC-DSP-A-20220222C-01,22,Full ROI,Liver Zone,Zone 3,65.96,680.86,43.22,2.552680276,16216,48941
2,MIPCC-DSP-A-20220222C-01,23,Full ROI,Liver Zone,Zone 2,50.26,639.04,46.11,1.470137619,15924,48753
2,MIPCC-DSP-A-20220222C-01,24,Full ROI,Liver Zone,Zone 2,37.62,559.46,32.37,1.449892517,15654,48634
1,MIPCC-DSP-A-20220222C-01,25,Full ROI,Liver Zone,Zone 1,14.55,434.01,17.56,0.560754405,15394,48608
1,MIPCC-DSP-A-20220222C-01,26,Full ROI,Liver Zone,Zone 1,13.35,252.92,12.61,0.435838824,15021,48429
3,MIPCC-DSP-A-20220222C-01,28,Full ROI,Liver Zone,Zone 3,93.32,753.62,52.18,2.410533711,22433,54552
3,MIPCC-DSP-A-20220222C-01,29,Full ROI,Liver Zone,Zone 3,39.51,709.31,36.81,2.52883536,22806,54453
2,MIPCC-DSP-A-20220222C-01,30,Full ROI,Liver Zone,Zone 2,36.66,768.4,36.66,1.545989929,23106,54386
2,MIPCC-DSP-A-20220222C-01,31,Full ROI,Liver Zone,Zone 2,23.02,682.65,18.41,1.450360306,23382,54236
1,MIPCC-DSP-A-20220222C-01,32,Full ROI,Liver Zone,Zone 1,15.16,509.07,12.73,0.407698202,23666,54171
1,MIPCC-DSP-A-20220222C-01,33,Full ROI,Liver Zone,Zone 1,17.43,451.25,15.78,0.524980128,24119,53993
2,MIPCC-DSP-A-20220222C-01,34,Full ROI,Liver Zone,Zone 2,43.4,729.29,35.87,1.547658256,27432,46002
1,MIPCC-DSP-A-20220222C-01,35,Full ROI,Liver Zone,Zone 1,47.66,599.25,29.79,0.417652484,27068,46387
1,MIPCC-DSP-A-20220222C-01,36,Full ROI,Liver Zone,Zone 1,36.71,523.66,31.53,0.468206349,26783,46709
3,MIPCC-DSP-A-20220222C-01,37,Full ROI,Liver Zone,Zone 3,127.52,936.56,91.27,2.529058735,27522,44296
2,MIPCC-DSP-A-20220222C-01,38,Full ROI,Liver Zone,Zone 2,97.93,1154.98,85.3,1.598998043,27233,44126
2,MIPCC-DSP-A-20220222C-01,39,Full ROI,Liver Zone,Zone 2,33.18,820.16,43.68,1.445692899,26877,43945
1,MIPCC-DSP-A-20220222C-01,40,Full ROI,Liver Zone,Zone 1,18.78,450.06,18.59,0.43432824,26306,44070
3,MIPCC-DSP-A-20220222C-01,42,Full ROI,Liver Zone,Zone 3,80.11,397.81,48.95,2.439686665,16525,26339
2,MIPCC-DSP-A-20220222C-01,43,Full ROI,Liver Zone,Zone 2,63.09,351.49,44.1,1.469060301,16761,25810
2,MIPCC-DSP-A-20220222C-01,44,Full ROI,Liver Zone,Zone 2,35.73,289.09,30.89,1.583939937,16770,25489
1,MIPCC-DSP-A-20220222C-01,45,Full ROI,Liver Zone,Zone 1,20.11,227.26,16.45,0.401201639,16815,25063
1,MIPCC-DSP-A-20220222C-01,46,Full ROI,Liver Zone,Zone 1,18.59,139.53,16.3,0.562066514,16811,24672
