,ROILabel,Lobular,Gene,Expression,X_position,Y_position,Group,type
1,2,Region 1,ADH1A,0.52273303,26912,24305,Group 1,Zone 3
2,3,Region 1,ADH1A,1.155332597,26867,24276,Group 1,Zone 3
3,4,Region 1,ADH1A,1.334393,26572,23905,Group 1,Zone 2
4,5,Region 1,ADH1A,0.044131449,26008,23308,Group 1,Zone 2
5,6,Region 1,ADH1A,-0.317008924,25778,22864,Group 1,Zone 1
6,7,Region 1,ADH1A,0.54658762,25456,22090,Group 1,Zone 1
7,16,Region 2,ADH1A,0.446639908,27853,44984,Group 1,Zone 3
8,17,Region 2,ADH1A,0.639288368,27733,45350,Group 1,Zone 3
9,18,Region 2,ADH1A,1.257394007,27689,45746,Group 1,Zone 2
10,34,Region 2,ADH1A,0.630229663,27432,46002,Group 1,Zone 2
11,35,Region 2,ADH1A,0.07070365,27068,46387,Group 1,Zone 1
12,36,Region 2,ADH1A,-0.506939773,26783,46709,Group 1,Zone 1
13,37,Region 3,ADH1A,1.784912596,27522,44296,Group 1,Zone 3
14,38,Region 3,ADH1A,2.398186925,27233,44126,Group 1,Zone 2
15,39,Region 3,ADH1A,1.27520946,26877,43945,Group 1,Zone 2
16,40,Region 3,ADH1A,0.187560945,26306,44070,Group 1,Zone 1
17,21,Region 4,ADH1A,0.110561952,16357,48999,Group 1,Zone 3
18,22,Region 4,ADH1A,0.116299132,16216,48941,Group 1,Zone 3
19,23,Region 4,ADH1A,-0.350224176,15924,48753,Group 1,Zone 2
20,24,Region 4,ADH1A,-0.862644923,15654,48634,Group 1,Zone 2
21,25,Region 4,ADH1A,-1.255792721,15394,48608,Group 1,Zone 1
22,26,Region 4,ADH1A,-1.835549842,15021,48429,Group 1,Zone 1
23,28,Region 5,ADH1A,-0.60447183,22433,54552,Group 1,Zone 3
24,29,Region 5,ADH1A,-0.247256896,22806,54453,Group 1,Zone 3
25,30,Region 5,ADH1A,0.098483679,23106,54386,Group 1,Zone 2
26,31,Region 5,ADH1A,-0.101109788,23382,54236,Group 1,Zone 2
27,32,Region 5,ADH1A,-0.362604406,23666,54171,Group 1,Zone 1
28,33,Region 5,ADH1A,-0.365020061,24119,53993,Group 1,Zone 1
29,42,Region 6,ADH1A,-0.708344981,16525,26339,Group 1,Zone 3
30,43,Region 6,ADH1A,-0.558876348,16761,25810,Group 1,Zone 2
31,44,Region 6,ADH1A,-0.941757614,16770,25489,Group 1,Zone 2
32,45,Region 6,ADH1A,-1.6812499,16815,25063,Group 1,Zone 1
33,46,Region 6,ADH1A,-1.919795798,16811,24672,Group 1,Zone 1
34,2,Region 1,ADH1B,0.894321744,26912,24305,Group 1,Zone 3
35,3,Region 1,ADH1B,1.650159037,26867,24276,Group 1,Zone 3
36,4,Region 1,ADH1B,1.265999191,26572,23905,Group 1,Zone 2
37,5,Region 1,ADH1B,0.284360863,26008,23308,Group 1,Zone 2
38,6,Region 1,ADH1B,-0.299579493,25778,22864,Group 1,Zone 1
39,7,Region 1,ADH1B,0.506994721,25456,22090,Group 1,Zone 1
40,16,Region 2,ADH1B,0.966980493,27853,44984,Group 1,Zone 3
41,17,Region 2,ADH1B,0.874573469,27733,45350,Group 1,Zone 3
42,18,Region 2,ADH1B,0.978531371,27689,45746,Group 1,Zone 2
43,34,Region 2,ADH1B,0.662496864,27432,46002,Group 1,Zone 2
44,35,Region 2,ADH1B,0.191767534,27068,46387,Group 1,Zone 1
45,36,Region 2,ADH1B,-0.435147056,26783,46709,Group 1,Zone 1
46,37,Region 3,ADH1B,1.543220263,27522,44296,Group 1,Zone 3
47,38,Region 3,ADH1B,2.121695687,27233,44126,Group 1,Zone 2
48,39,Region 3,ADH1B,1.360517666,26877,43945,Group 1,Zone 2
49,40,Region 3,ADH1B,0.437999961,26306,44070,Group 1,Zone 1
50,21,Region 4,ADH1B,-0.150908514,16357,48999,Group 1,Zone 3
51,22,Region 4,ADH1B,-0.190963978,16216,48941,Group 1,Zone 3
52,23,Region 4,ADH1B,-0.354601417,15924,48753,Group 1,Zone 2
53,24,Region 4,ADH1B,-0.744723007,15654,48634,Group 1,Zone 2
54,25,Region 4,ADH1B,-1.288048985,15394,48608,Group 1,Zone 1
55,26,Region 4,ADH1B,-1.647306132,15021,48429,Group 1,Zone 1
56,28,Region 5,ADH1B,-0.75521816,22433,54552,Group 1,Zone 3
