Order,ROILabel,Sub_location,Lobular,Slice,bar,Percentage,X_position,Y_postion
1,2,Zone 3,Region 1,Slice 1,two,0.03,26912,24305
2,3,Zone 3,Region 1,Slice 2,two,0.03,26867,24276
3,4,Zone 2,Region 1,Slice 3,two,0.03,26572,23905
4,5,Zone 2,Region 1,Slice 4,two,0.03,26008,23308
5,6,Zone 1,Region 1,Slice 5,two,0.03,25778,22864
6,7,Zone 1,Region 1,Slice 6,two,0.03,25456,22090
7,16,Zone 3,Region 2,Slice 1,two,0.03,27853,44984
8,17,Zone 3,Region 2,Slice 2,two,0.03,27733,45350
9,18,Zone 2,Region 2,Slice 3,two,0.03,27689,45746
10,34,Zone 2,Region 2,Slice 4,two,0.03,27432,46002
11,35,Zone 1,Region 2,Slice 5,two,0.03,27068,46387
12,36,Zone 1,Region 2,Slice 6,two,0.03,26783,46709
13,37,Zone 3,Region 3,Slice 1,two,0.03,27522,44296
14,38,Zone 2,Region 3,Slice 2,two,0.03,27233,44126
15,39,Zone 2,Region 3,Slice 3,two,0.03,26877,43945
16,40,Zone 1,Region 3,Slice 4,two,0.03,26306,44070
17,21,Zone 3,Region 4,Slice 1,two,0.03,16357,48999
18,22,Zone 3,Region 4,Slice 2,two,0.03,16216,48941
19,23,Zone 2,Region 4,Slice 3,two,0.03,15924,48753
20,24,Zone 2,Region 4,Slice 4,two,0.03,15654,48634
21,25,Zone 1,Region 4,Slice 5,two,0.03,15394,48608
22,26,Zone 1,Region 4,Slice 6,two,0.03,15021,48429
23,28,Zone 3,Region 5,Slice 1,two,0.03,22433,54552
24,29,Zone 3,Region 5,Slice 2,two,0.03,22806,54453
25,30,Zone 2,Region 5,Slice 3,two,0.03,23106,54386
26,31,Zone 2,Region 5,Slice 4,two,0.03,23382,54236
27,32,Zone 1,Region 5,Slice 5,two,0.03,23666,54171
28,33,Zone 1,Region 5,Slice 6,two,0.03,24119,53993
29,42,Zone 3,Region 6,Slice 1,two,0.03,16525,26339
30,43,Zone 2,Region 6,Slice 2,two,0.03,16761,25810
31,44,Zone 2,Region 6,Slice 3,two,0.03,16770,25489
32,45,Zone 1,Region 6,Slice 4,two,0.03,16815,25063
33,46,Zone 1,Region 6,Slice 5,two,0.03,16811,24672
