type,X_position,Y_position,GenesDetected,Stage,ROI_category,primary_loc,clust_id,x_axis
Gut - Pharynx,62346.17253,14404.42255,11690,E11,Gut - Pharynx,Gut,5,4.914852222
Gut - Pharynx,62366.5101,14051.05719,10635,E11,Gut - Pharynx,Gut,5,4.987321533
Heart - Atrium,61233.9876,16158.56243,9867,E11,Heart - Atrium,Heart,4,3.97873504
Heart - Atrium,61965.92609,16087.72967,10255,E11,Heart - Atrium,Heart,4,3.996904705
Heart - Ventricle,60895.93429,15020.13398,10671,E11,Heart - Ventricle,Heart,4,3.915065021
Heart - Ventricle,59976.47297,14843.87942,9931,E11,Heart - Ventricle,Heart,4,3.91745172
Heart - Ventricle,60694.71033,15403.48767,8906,E11,Heart - Ventricle,Heart,4,4.038998068
Heart - Ventricle,61465.97037,15217.12272,10854,E11,Heart - Ventricle,Heart,4,4.065341942
Heart - Ventricle,60784.60662,14563.58768,10148,E11,Heart - Ventricle,Heart,4,3.996179621
Heart - Ventricle,59386.267,14717.68784,9961,E11,Heart - Ventricle,Heart,4,4.091583021
Heart - Ventricle,58723.45362,15491.94771,9528,E11,Heart - Ventricle,Heart,4,3.981937107
Heart - Ventricle,59267.4885,15467.01889,9005,E11,Heart - Ventricle,Heart,4,3.971426924
Heart - Ventricle,60316.68234,15518.04002,10023,E11,Heart - Ventricle,Heart,4,3.955119807
Heart - Ventricle,61044.93953,15915.27121,10067,E11,Heart - Ventricle,Heart,4,4.029197172
Heart - Ventricle,60055.26607,16427.93123,9706,E11,Heart - Ventricle,Heart,4,4.01562434
Heart - Ventricle,60250.12962,16231.37321,9984,E11,Heart - Ventricle,Heart,4,3.933774617
Heart - Ventricle,59089.78875,16541.85259,9768,E11,Heart - Ventricle,Heart,4,4.029456084
Gut - Esophagus,59089.78875,16541.85259,9314,E11,Gut - Esophagus,Gut,5,5.00394927
Gut - Esophagus,62392.61161,16742.53934,10811,E11,Gut - Esophagus,Gut,5,4.933268274
Gut - Esophagus,62221.95311,17138.93769,10542,E11,Gut - Esophagus,Gut,5,4.9181411
Lung,61910.63107,16874.60766,9477,E11,Lung,Respiratory,2,1.931268077
Lung,62062.09537,16587.9346,10489,E11,Lung,Respiratory,2,2.007550568
Lung,61835.16116,17027.16117,10169,E11,Lung,Respiratory,2,2.03806315
Body,61777.79228,17644.92395,10295,E11,Body,Body,1,0.908212684
Gut - Duodenum,61396.04877,17545.98584,10677,E11,Gut - Duodenum,Gut,5,4.947626743
Body,61412.77033,17759.15361,10318,E11,Body,Body,1,1.047042239
Body,61287.59269,17365.73815,10514,E11,Body,Body,1,1.035752155
Gut - Midgut,61500.67394,18354.98496,9707,E11,Gut - Midgut,Gut,5,4.956517827
Gut - Midgut,61489.74724,18461.82377,10092,E11,Gut - Midgut,Gut,5,4.927198407
Body,61693.82248,17144.10214,10305,E11,Body,Body,1,0.926748505
Kidney,61043.43866,19206.6295,10729,E11,Kidney,Kidney,6,5.93839143
Kidney,60839.14154,19475.17687,10297,E11,Kidney,Kidney,6,6.075316423
Kidney,60685.56218,19476.73365,10394,E11,Kidney,Kidney,6,6.06637259
Kidney,60886.26373,19346.25617,10712,E11,Kidney,Kidney,6,5.990494466
Kidney,61089.944,19066.73046,11176,E11,Kidney,Kidney,6,6.089627492
Gut - Midgut,59577.58643,18531.74897,10254,E11,Gut - Midgut,Gut,5,5.041987246
Gut - Midgut,58710.7968,18400.41076,10390,E11,Gut - Midgut,Gut,5,5.077222323
Gut - Midgut,58473.50547,17066.72699,10506,E11,Gut - Midgut,Gut,5,4.955652626
Gut - Midgut,58561.19152,17023.26907,10330,E11,Gut - Midgut,Gut,5,5.038702885
Gut - Pharynx,62416.84822,13995.08068,9740,E11,Gut - Pharynx,Gut,5,4.9141253
Gut - Pharynx,62501.45234,14433.65896,11137,E11,Gut - Pharynx,Gut,5,4.961886998
Gut - Midgut,58849.47338,18293.79625,10160,E11,Gut - Midgut,Gut,5,4.961514827
Gut - Midgut,58708.26629,17356.62519,10271,E11,Gut - Midgut,Gut,5,4.996050654
Gut - Midgut,58484.20844,16350.07647,10335,E11,Gut - Midgut,Gut,5,4.977288916
Gut - Midgut,58524.86962,18526.17154,10036,E11,Gut - Midgut,Gut,5,5.088469383
Gut - Midgut,58276.44948,17443.47247,11019,E11,Gut - Midgut,Gut,5,4.921050327
Gut - Midgut,58161.75258,16408.68839,10202,E11,Gut - Midgut,Gut,5,4.908353846
Gut - Midgut,59310.47782,18612.94853,9927,E11,Gut - Midgut,Gut,5,4.932453777
Gut - Midgut,59488.94626,18334.77705,9985,E11,Gut - Midgut,Gut,5,5.046357214
Gut - Midgut,59193.83987,18246.24498,10379,E11,Gut - Midgut,Gut,5,4.990587803
Gut - Pharynx,62235.50651,14494.34283,9761,E11,Gut - Pharynx,Gut,5,4.944007138
Gut - Pharynx,62264.89902,14072.05504,9033,E11,Gut - Pharynx,Gut,5,4.903127525
Gut - Stomach,23895.21414,65881.93711,9633,E13,Gut - Stomach,Gut,5,4.919167907
Gut - Stomach,24133.64082,65593.90477,9572,E13,Gut - Stomach,Gut,5,4.957791866
Gut - Stomach,23812.0774,66070.35053,9590,E13,Gut - Stomach,Gut,5,4.959922995
Gut - Stomach,24112.0448,65295.87735,9661,E13,Gut - Stomach,Gut,5,4.999874987
Gut - Stomach,24097.81823,65414.63415,9635,E13,Gut - Stomach,Gut,5,5.001520238
Gut - Stomach,24332.42601,65249.98827,9030,E13,Gut - Stomach,Gut,5,5.088595424
Gut - Stomach,23681.25982,66166.02338817096},10618,E13,Gut - Stomach,Gut,5,5.03643248
Gut - Stomach,24386.53305,65756.33239,9794,E13,Gut - Stomach,Gut,5,5.07923397
Gut - Esophagus,25994.05736,64942.57951,9465,E13,Gut - Esophagus,Gut,5,5.07696693
Gut - Esophagus,26352.99767,64510.61995,10781,E13,Gut - Esophagus,Gut,5,4.917071751
Gut - Esophagus,26870.347,63693.89424,9686,E13,Gut - Esophagus,Gut,5,4.95447144
Gut - Esophagus,27173.11328,62834.73332,9447,E13,Gut - Esophagus,Gut,5,4.901872272
Gut - Esophagus,26799.05495,63440.30257,9484,E13,Gut - Esophagus,Gut,5,5.067566647
Gut - Esophagus,27112.86596,63489.4819,8854,E13,Gut - Esophagus,Gut,5,5.0270793
Gut - Esophagus,27317.48909,62102.82273,10319,E13,Gut - Esophagus,Gut,5,4.955853596
Gut - Midgut,19493.50174,62348.39619,9036,E13,Gut - Midgut,Gut,5,4.920339474
Gut - Midgut,19590.07349,62373.84415,9575,E13,Gut - Midgut,Gut,5,5.022749989
Gut - Midgut,19681.09871,62399.26966,9357,E13,Gut - Midgut,Gut,5,4.91506869
Trachea,27050.77288,61046.81593,9847,E13,Trachea,Respiratory,2,2.06964129
Trachea,27071.99255,60922.32718,8850,E13,Trachea,Respiratory,2,1.927026369
Lung,26583.29866,62688.5105,8506,E13,Lung,Respiratory,2,2.046619352
Lung,26032.67796,63105.77893824556},9449,E13,Lung,Respiratory,2,2.097424947
Lung,26637.17023,63063.9847,9551,E13,Lung,Respiratory,2,1.975709689
Lung,26480.51826,63536.31977,9475,E13,Lung,Respiratory,2,2.007475833
Lung,26338.88954,62991.53374,9624,E13,Lung,Respiratory,2,1.944025457
Gut - Midgut,20242.50294,62490.84938,9175,E13,Gut - Midgut,Gut,5,4.924408579
Gut - Midgut,20267.13874,62413.4226,9418,E13,Gut - Midgut,Gut,5,5.072445922
Gut - Midgut,20294.72776,62332.68848,9434,E13,Gut - Midgut,Gut,5,4.907080925
Gut - Midgut,20826.77488,63053.4886,8867,E13,Gut - Midgut,Gut,5,5.094726751
Gut - Midgut,20714.98244,63093.23703,9946,E13,Gut - Midgut,Gut,5,4.928996787
Gut - Midgut,20656.1879,63120.35704,9255,E13,Gut - Midgut,Gut,5,5.021027862
Heart - Atrium,26537.14994,62446.6117,9728,E13,Heart - Atrium,Heart,4,3.940309954
Heart - Atrium,26607.6021,61918.84039,9047,E13,Heart - Atrium,Heart,4,4.00141484
Heart - Ventricle,25716.16828,61676.47201,8672,E13,Heart - Ventricle,Heart,4,4.080139579
Heart - Ventricle,25007.9577,62434.61738,9517,E13,Heart - Ventricle,Heart,4,3.913714086
Heart - Ventricle,25900.98655,60959.66066,9549,E13,Heart - Ventricle,Heart,4,3.972450266
Heart - Ventricle,25477.94225,62111.42466,8964,E13,Heart - Ventricle,Heart,4,3.962632746
Heart - Ventricle,25083.1853,62357.81659,8581,E13,Heart - Ventricle,Heart,4,4.081336985
Heart - Ventricle,24726.13305,61932.23121,8425,E13,Heart - Ventricle,Heart,4,4.023503269
Heart - Ventricle,25118.92649,61337.35069,8248,E13,Heart - Ventricle,Heart,4,4.041858785
Heart - Ventricle,25265.23827,60829.12072,8774,E13,Heart - Ventricle,Heart,4,3.91984964
Heart - Ventricle,25428.48344,60592.34382,9201,E13,Heart - Ventricle,Heart,4,3.964179306
Gut - Esophagus,27140.61727,57518.25531,9218,E13,Gut - Esophagus,Gut,5,4.969592728
Gut - Esophagus,27215.31501,57688.31188,9705,E13,Gut - Esophagus,Gut,5,5.085081054
Gut - Esophagus,26699.26697,57077.9351,10742,E13,Gut - Esophagus,Gut,5,4.903671551
Gut - Esophagus,26966.6606,57048.80249,10043,E13,Gut - Esophagus,Gut,5,5.087193549
Pancreas,23954.20767,67569.27827,9953,E13,Pancreas,Pancreas,7,6.944615254
Pancreas,23964.13343,66769.28278,9378,E13,Pancreas,Pancreas,7,6.914862704
Pancreas,24059.78695,67294.54509,10320,E13,Pancreas,Pancreas,7,7.064562205
Pancreas,24363.73908,67338.99191,10172,E13,Pancreas,Pancreas,7,7.068316907
Pancreas,23745.9686,67010.70096,10164,E13,Pancreas,Pancreas,7,7.000808478
Pancreas,24044.4182,67708.76804,9199,E13,Pancreas,Pancreas,7,6.99665723
Lung,61917.28626,62093.5453,11697,E15,Lung,Respiratory,2,1.768827379
Lung,61738.01138,62601.14241,10637,E15,Lung,Respiratory,2,1.842116733
Lung,61326.58577,62620.53534,10482,E15,Lung,Respiratory,2,1.722152645
Lung,61352.43265,62170.19613,11596,E15,Lung,Respiratory,2,1.905677743
Lung,61835.72617,61489.75264,10974,E15,Lung,Respiratory,2,1.771057778
Lung,61642.33367,61828.95428,11441,E15,Lung,Respiratory,2,2.204497193
Lung,60544.32243,61899.74369,10920,E15,Lung,Respiratory,2,1.724496526
Lung,61586.67403,63224.12406,11579,E15,Lung,Respiratory,2,2.204170817
Lung,62105.19191,62492.1025,10752,E15,Lung,Respiratory,2,1.957757428
Lung,60933.43523,62123.77683,11877,E15,Lung,Respiratory,2,1.978633069
Lung,61840.96823,63142.13769,10180,E15,Lung,Respiratory,2,1.771493744
Lung,62015.34885,62790.51774,11600,E15,Lung,Respiratory,2,1.810299147
Lung,61426.12395,62882.65089,11327,E15,Lung,Respiratory,2,2.075805257
Lung,60980.28304,61968.65378,11830,E15,Lung,Respiratory,2,1.74653835
Lung,61750.64024,61986.05982,11116,E15,Lung,Respiratory,2,2.223214207
Lung,62022.47,62670.76984,10738,E15,Lung,Respiratory,2,1.756453039
Lung,61434.92602,63119.36513,10907,E15,Lung,Respiratory,2,1.976894766
Gut - Esophagus,62006.4648,64522.09935,11118,E15,Gut - Esophagus,Gut,5,4.911148102
Gut - Esophagus,61891.34673,64293.61364,10706,E15,Gut - Esophagus,Gut,5,5.195493962
Trachea,62195.46472,58405.5423,11379,E15,Trachea,Respiratory,2,2.289917857
Trachea,62035.41693,59920.41388,10748,E15,Trachea,Respiratory,2,1.76692426
Heart - Ventricle,57729.75243,59814.12522,9737,E15,Heart - Ventricle,Heart,4,3.8394228
Heart - Ventricle,58802.53186,58452.19936,9520,E15,Heart - Ventricle,Heart,4,4.20390505
Heart - Ventricle,58095.84442,61029.24608,9723,E15,Heart - Ventricle,Heart,4,3.752957611
Heart - Atrium,61324.33203,61204.59976,9686,E15,Heart - Atrium,Heart,4,3.79733741
Heart - Atrium,60963.77179,60291.93736,10029,E15,Heart - Atrium,Heart,4,4.119915911
Heart - Atrium,60277.52868,61080.75667,10266,E15,Heart - Atrium,Heart,4,4.090070654
Heart - Ventricle,57937.64374,59929.30521,8327,E15,Heart - Ventricle,Heart,4,3.95424511
Heart - Ventricle,58556.96188,58986.99098,9003,E15,Heart - Ventricle,Heart,4,3.75155396
Heart - Ventricle,59237.51022,59104.03539,8190,E15,Heart - Ventricle,Heart,4,3.918464097
Heart - Ventricle,58757.96696,60084.82312,7631,E15,Heart - Ventricle,Heart,4,3.932076098
Heart - Ventricle,57948.11792,60556.98566,6459,E15,Heart - Ventricle,Heart,4,4.191248078
Heart - Atrium,59852.01509,58114.1289,9488,E15,Heart - Atrium,Heart,4,4.200337562
Heart - Atrium,60351.08233,58640.50065,9904,E15,Heart - Atrium,Heart,4,3.781131677
Heart - Other,60946.31667,59186.39786,9829,E15,Heart - Other,Heart,4,4.017710198
Heart - Other,61396.44637,58741.19918,9724,E15,Heart - Other,Heart,4,4.215956192
Heart - Ventricle,59403.28956,60824.02761,11044,E15,Heart - Ventricle,Heart,4,3.74746167
Heart - Ventricle,59791.13133,59934.98143,10495,E15,Heart - Ventricle,Heart,4,3.71470022
Heart - Ventricle,59927.57939,59262.14668,10219,E15,Heart - Ventricle,Heart,4,4.031394517
Trachea,61977.41242,60533.90104,10271,E15,Trachea,Respiratory,2,2.098659192
Trachea,62077.16218,58169.3082,11209,E15,Trachea,Respiratory,2,2.127126951
Gut - Esophagus,62098.9142,64540.12895,10080,E15,Gut - Esophagus,Gut,5,5.127623688
Gut - Esophagus,61809.86631,64260.44285,9541,E15,Gut - Esophagus,Gut,5,5.261661448
Pancreas,57695.13444,67837.51963,10554,E15,Pancreas,Pancreas,7,7.096977382
Pancreas,58433.14704,68097.45743,10338,E15,Pancreas,Pancreas,7,7.021327016
Pancreas,57649.67731,68404.28837,11362,E15,Pancreas,Pancreas,7,6.777566381
Pancreas,58659.43884,66701.76567,11121,E15,Pancreas,Pancreas,7,6.902634335
Pancreas,58588.72734,66087.6642,10640,E15,Pancreas,Pancreas,7,7.205267758
Gut - Duodenum,59036.62883,65309.93198,11428,E15,Gut - Duodenum,Gut,5,5.056926448
Gut - Duodenum,58475.29519,65040.66579,10685,E15,Gut - Duodenum,Gut,5,5.177591371
Gut - Duodenum,57914.85617,64724.01001,11038,E15,Gut - Duodenum,Gut,5,5.094907572
Gut - Duodenum,59405.65004,65594.01425,10891,E15,Gut - Duodenum,Gut,5,4.957994467
Gut - Duodenum,58093.72618,64922.3482,10999,E15,Gut - Duodenum,Gut,5,4.998222496
Gut - Duodenum,59288.15572,65557.33186,11166,E15,Gut - Duodenum,Gut,5,5.235485474
Gut - Midgut,57969.52948,69185.10712,10431,E15,Gut - Midgut,Gut,5,5.218772121
Gut - Midgut,57912.94016,69261.73366,10866,E15,Gut - Midgut,Gut,5,5.186875881
Gut - Midgut,57495.53629,69315.36773,10837,E15,Gut - Midgut,Gut,5,4.836350368
Gut - Midgut,58223.43302,69004.94483,11002,E15,Gut - Midgut,Gut,5,4.76531744
Gut - Midgut,56741.51889,69583.68592,11027,E15,Gut - Midgut,Gut,5,4.812559175
Gut - Midgut,58110.50164,69235.20869,11142,E15,Gut - Midgut,Gut,5,4.974519232
Gut - Midgut,56840.93942,69580.19199,12274,E15,Gut - Midgut,Gut,5,4.7773907
Gut - Midgut,52772.09765,61761.86543,10243,E15,Gut - Midgut,Gut,5,5.060427777
Gut - Midgut,52475.24926,61153.71497,11428,E15,Gut - Midgut,Gut,5,4.905855444
Gut - Midgut,52575.21386,61313.88546,10334,E15,Gut - Midgut,Gut,5,5.186823815
Gut - Midgut,53141.24146,63467.05921,10830,E15,Gut - Midgut,Gut,5,5.025897878
Gut - Midgut,52995.94464,63914.88586,11066,E15,Gut - Midgut,Gut,5,5.019735458
Gut - Midgut,52996.99971,63833.64805,11034,E15,Gut - Midgut,Gut,5,5.101247938
Pancreas,58071.91666,68412.49777,10760,E15,Pancreas,Pancreas,7,7.200083307
Pancreas,59292.23178,66888.4984,10790,E15,Pancreas,Pancreas,7,6.893109124
Pancreas,58551.4171,65732.49395,11410,E15,Pancreas,Pancreas,7,6.703098542
Neural,23767.89204,23896.28033,11174,E9,Neural,Neural,3,3.29119002
Neural,22903.25722,25835.9942,10932,E9,Neural,Neural,3,3.243457558
Neural,21333.39506,24432.1113,10769,E9,Neural,Neural,3,2.877588195
Neural,24692.07726,22145.23279,10983,E9,Neural,Neural,3,3.027569209
Neural,22612.87514,21896.10449,10929,E9,Neural,Neural,3,3.009277278
Neural,25484.5892,24495.30714,10567,E9,Neural,Neural,3,3.152270187
Body,25818.32761,26454.65623,10469,E9,Body,Body,1,0.844540251
Neural,23307.85282,29520.49435,10667,E9,Neural,Neural,3,2.935896511
Neural,23702.3986,29649.74453,10756,E9,Neural,Neural,3,2.889142505
Gut - Foregut,24939.83725,27573.79311,10692,E9,Gut - Foregut,Gut,5,4.960544299
Gut - Foregut,25109.12675,26903.23418,10554,E9,Gut - Foregut,Gut,5,4.926235813
Gut - Midgut,24115.22416,28239.29996,10585,E9,Gut - Midgut,Gut,5,5.103305128
Heart - Other,22955.18305,26299.73872,10434,E9,Heart - Other,Heart,4,4.150248373
Heart - Other,23461.97562,27078.1721,10320,E9,Heart - Other,Heart,4,3.918246878
Heart - Other,23765.12769,27752.46388,9725,E9,Heart - Other,Heart,4,4.125937129
Heart - Other,22864.72937,27304.53463,9787,E9,Heart - Other,Heart,4,3.725181307
Neural,25786.59268,25657.31636,10393,E9,Neural,Neural,3,2.763257082
Neural,24128.38375,29593.14514,10890,E9,Neural,Neural,3,2.904492482
Neural,22960.8256,29455.35878,10830,E9,Neural,Neural,3,3.166220711
Body,24553.37676,27446.71502,10102,E9,Body,Body,1,0.816794578
Body,24401.83271,28311.07736,10555,E9,Body,Body,1,0.842254085
Body,23637.78131,28147.60287,9941,E9,Body,Body,1,0.917643464
Body,25322.66315,28618.74527,10948,E9,Body,Body,1,0.738643521
Body,24616.17131,29256.68757,11227,E9,Body,Body,1,1.226046197
Body,25287.90627,25850.46509,10723,E9,Body,Body,1,1.131814688
Body,26100.43142,25911.171,10823,E9,Body,Body,1,1.203395456
Body,25091.82074,24499.97979,10350,E9,Body,Body,1,1.107756323
Body,24653.98167,24861.72021,10577,E9,Body,Body,1,1.037583156
Body,24110.88135,23614.81628,10883,E9,Body,Body,1,1.028471066
Body,23068.64243,28943.76932,10867,E9,Body,Body,1,0.894970223
Body,24276.95307,25675.19186,10343,E9,Body,Body,1,0.763911893
Gut - Pharynx,24968.36574,25852.06487,10620,E9,Gut - Pharynx,Gut,5,5.111050512
Placenta,26762.50302,25714.94795,9411,E9,Placenta,Placenta,8,8.215812677
Placenta,26792.52288,23769.0277,10328,E9,Placenta,Placenta,8,8.16324954
Placenta,27705.03593,23071.90455,10387,E9,Placenta,Placenta,8,8.088716768
Placenta,27804.8999,24420.0681,10502,E9,Placenta,Placenta,8,8.186967488
Placenta,28428.91142,24556.5469,8208,E9,Placenta,Placenta,8,8.230786551
Placenta,28305.45696,22936.15619,9213,E9,Placenta,Placenta,8,8.178775665
Placenta,27304.59033,21965.89123,10720,E9,Placenta,Placenta,8,7.975363179
Placenta,28223.74044,21606.09915,8845,E9,Placenta,Placenta,8,8.21337228
Placenta,28223.74044,21606.09915,9223,E9,Placenta,Placenta,8,7.831803173
Placenta,29375.48805,23702.997545958497},8688,E9,Placenta,Placenta,8,7.797560133
Body,24655.1039,23449.88409,10133,E9,Body,Body,1,1.173134463
Body,21000.38018,27595.12774,10190,E9,Body,Body,1,0.835966048
Body,21141.1899,27719.93635,10715,E9,Body,Body,1,1.291135518
Body,21490.01399,27977.55414,10356,E9,Body,Body,1,0.956751448
Body,21919.67949,28301.54707,10814,E9,Body,Body,1,0.75734003
Body,24242.77569,26076.29755,10147,E9,Body,Body,1,1.026147324
Heart - Other,24050.26693,27162.78871,10217,E9,Heart - Other,Heart,4,3.98915639
Heart - Other,24061.8193,27123.20596,10700,E9,Heart - Other,Heart,4,3.705570996
Body,24287.06825,26562.47985,9873,E9,Body,Body,1,1.187555269
Body,22469.2796,28261.81142,10718,E9,Body,Body,1,0.79466862
Body,26139.96427,26600.0625,10255,E9,Body,Body,1,0.979249176
