Target name,FC,Pvalue,Significance,GeneName,GeneName2,Color
SLPI,-0.72135454,2.0479E-05,4.688691465,SLPI,,#F0E442
CYP1A2,2.025391545,2.60108E-05,4.584845487,,CYP1A2,#009E73
SDS,-1.508208125,6.70736E-05,4.173448438,SDS,,#F0E442
ATP1B1,-0.286200457,7.36672E-05,4.132725598,,,#808080
IL15RA,-0.464939728,9.05675E-05,4.043027855,,,#808080
NAMPT,-1.009291629,9.53596E-05,4.020635385,NAMPT,,#F0E442
CYP2E1,0.913350209,0.000116264,3.934554747,,CYP2E1,#009E73
CYP3A4,1.540196809,0.000131947,3.879599018,,CYP3A4,#009E73
NNMT,-1.199969155,0.000143198,3.844061915,NNMT,,#F0E442
MUC21,-0.289866131,0.000147005,3.832669318,,,#808080
PRG4,-0.679121227,0.000223214,3.651278008,PRG4,,#F0E442
SLCO1B3,0.996054474,0.000227785,3.642475755,,SLCO1B3,#009E73
CRP,-1.657465084,0.000238994,3.621613046,CRP,,#F0E442
LSM2,-0.358515752,0.000241336,3.617377098,,,#808080
HAL,-2.111974589,0.000253525,3.595978793,HAL,,#F0E442
CFHR4,-0.664948049,0.000265482,3.575965495,CFHR4,,#F0E442
ALDH3A2,0.337946275,0.00026734,3.572935838,,,#808080
GLS2,-0.732077605,0.000336344,3.473216584,GLS2,,#F0E442
LEPR,-0.575933777,0.000392871,3.40574948,,,#808080
SORD,0.505039018,0.000420632,3.376098152,,,#808080
ADAM15,-0.34971165,0.000451014,3.345810057,,,#808080
ISG15,0.417929057,0.000459505,3.337709437,,,#808080
LPAR1,-0.330213867,0.000482755,3.316273212,,,#808080
ASPG,-0.557258033,0.000558258,3.253164933,,,#808080
MUC3A,-0.572349222,0.000673753,3.171499524,,,#808080
ALDOB,-1.321314895,0.000687561,3.162688973,ALDOB,,#F0E442
SLC25A6,-0.380570209,0.000765711,3.115934981,,,#808080
DDIT4,0.453736384,0.000774929,3.11073805,,,#808080
TSKU,0.38283102,0.000797523,3.098256919,,,#808080
RRBP1,-0.507394267,0.000797677,3.098172814,,,#808080
ASS1,-0.657046141,0.000866424,3.062269311,ASS1,,#F0E442
ARG1,-0.429161113,0.000961908,3.016866251,,,#808080
COL27A1,-0.333209867,0.001031259,2.986632077,,,#808080
CA8,0.214994667,0.001141722,2.94243966,,,#808080
EID1,-0.212547999,0.001187445,2.925386598,,,#808080
AKR1C2,0.819005551,0.001196582,2.922057575,,AKR1C2,#009E73
ZNF14,-0.232055845,0.001291843,2.888790343,,,#808080
ADGRA3,-0.412837222,0.001303398,2.884923086,,,#808080
PCSK6,-0.268017316,0.001314889,2.881110855,,,#808080
HSPB1,0.33580978,0.001436015,2.842840887,,,#808080
CRELD1,-0.368767431,0.001484991,2.828276088,,,#808080
SMARCB1,-0.314609423,0.001499489,2.824056576,,,#808080
LBP,-0.667408097,0.001541433,2.812075401,LBP,,#F0E442
ASL,-0.239846312,0.001559875,2.806910268,,,#808080
OAT,0.562248579,0.001562162,2.806274012,,,#808080
GLUL,1.373957248,0.001577354,2.802070831,,GLUL,#009E73
GRINA,0.243432955,0.001611589,2.792745668,,,#808080
H4C12,-0.241195996,0.001720438,2.764361012,,,#808080
ZNF777,0.266546897,0.001778263,2.7500039,,,#808080
GNA11,-0.266718735,0.001824897,2.73876156,,,#808080
C16orf86,-0.254032598,0.001832589,2.736934999,,,#808080
BCAM,-0.353615562,0.001901743,2.720848229,,,#808080
FBP1,-0.656607798,0.001930894,2.714241572,FBP1,,#F0E442
WDR11,-0.2405852,0.001976921,2.704010708,,,#808080
APOF,-0.446184579,0.002011562,2.696466494,,,#808080
PROX1,0.286723159,0.002086225,2.680638817,,,#808080
ANGPTL4,-0.335410595,0.002134051,2.670795168,,,#808080
IFI27,0.437976906,0.002168109,2.663918792,,,#808080
TMEM37,0.266459396,0.002197019,2.6581661,,,#808080
PCK1,-0.801327421,0.00222496,2.652677769,PCK1,,#F0E442
MGP,-0.347634129,0.002255369,2.646782436,,,#808080
AKR1C1,0.565222142,0.00232093,2.634337932,,,#808080
PRAP1,0.448529152,0.002371618,2.624955266,,,#808080
SERPINA11,-0.561226883,0.002476747,2.60611827,,,#808080
KDSR,-0.216297966,0.002594858,2.585886451,,,#808080
WDFY4,0.360141873,0.002678621,2.572088714,,,#808080
SIRT6,-0.352345475,0.00288543,2.539789453,,,#808080
ALDH1B1,-0.288238195,0.003068806,2.513030626,,,#808080
TGM2,-0.44790705,0.003261338,2.486604227,,,#808080
SHB,-0.2965081,0.003295701,2.482052231,,,#808080
SETD1A,-0.246095794,0.003389452,2.469870558,,,#808080
FGB,-0.924359726,0.003452463,2.461871017,FGB,,#F0E442
C7,-0.381506479,0.003530346,2.452182708,,,#808080
HCAR2,0.252292151,0.003600139,2.44368072,,,#808080
SLC7A2,-0.353171145,0.003772895,2.423325303,,,#808080
ETS2,-0.304712825,0.003792863,2.421032802,,,#808080
PLEC,-0.322608892,0.003913838,2.407397154,,,#808080
TBC1D13,0.251897715,0.00396782,2.401448013,,,#808080
DOCK5,-0.404283276,0.004210108,2.375706714,,,#808080
THBS1,0.620920124,0.00426881,2.369693131,,THBS1,#009E73
CXCL2,-0.535079143,0.004270911,2.36947948,,,#808080
GPHN,0.360987409,0.00443446,2.353159294,,,#808080
HSD17B13,-0.84603673,0.00449763,2.34701632,HSD17B13,,#F0E442
CHDH,0.309771483,0.004625032,2.334885295,,,#808080
BIRC5,-0.208484961,0.004664003,2.331241144,,,#808080
OSM,-0.289722705,0.004710181,2.326962415,,,#808080
CXCR4,-0.207023016,0.004758301,2.322548073,,,#808080
CPQ,0.24906926,0.004870385,2.312436713,,,#808080
ATG14,-0.357459901,0.004973045,2.303377569,,,#808080
