clust_id,PrimaryLocation,ROI_lab_dspda,aoi_lab,X_position,Y_position,ROI_width,ROI_height,GenesDetected,x_axis
4,Central Vein,1,Full ROI,26804,24226,249,239,2239,3.913845916
3,Zone 3,2,Full ROI,26570,23998,684,614,1741,2.870726644
3,Zone 3,3,Full ROI,26148,23676,1439,1201,2138,2.940237775
2,Zone 2,4,Full ROI,25751,23150,1642,1511,2184,2.098934838
2,Zone 2,5,Full ROI,25183,22655,1650,1307,1929,1.847078592
1,Zone 1,6,Full ROI,24963,22156,1631,1416,2469,0.932492855
1,Zone 1,7,Full ROI,24632,21484,1649,1212,2086,0.893124134
5,Bile Duct,8,Full ROI,20903,32304,397,411,2379,5.062337409
6,Artery,9,Full ROI,22200,32739,186,329,2205,5.988288779
7,Portal Vein,10,Full ROI,21100,32284,441,205,483,7.037899695
8,CV Macrophage,11,CD68,22791,34091,1618,1618,801,8.034197908
9,CV Sinusoid,11,SMA,22791,34091,1618,1618,788,8.864853098
4,Central Vein,12,Full ROI,27638,44599,370,756,969,3.979138254
4,Central Vein,13,Full ROI,23374,34600,524,461,695,3.888058607
10,Liver Macrophage,14,CD68,19773,22461,1657,1969,599,9.998855622
11,Liver Sinusoid,14,SMA,19773,22461,1657,1969,894,11.12870453
12,PV Macrophage,15,CD68,20710,26853,1621,1725,675,11.93609891
13,PV Sinusoid,15,SMA,20710,26853,1621,1725,335,13.1762847
3,Zone 3,16,Full ROI,27497,44486,713,996,1748,3.016940107
3,Zone 3,17,Full ROI,27192,44880,1082,940,1703,2.909207657
2,Zone 2,18,Full ROI,26900,45198,1578,1097,2109,1.808313511
4,Central Vein,19,Full ROI,27400,44216,239,216,843,4.180771264
4,Central Vein,20,Full ROI,16299,48936,250,189,1690,4.045889101
3,Zone 3,21,Full ROI,16094,48667,526,665,1146,2.824590503
3,Zone 3,22,Full ROI,15859,48337,714,1208,1798,3.109842678
2,Zone 2,23,Full ROI,15599,48206,650,1094,1502,1.997962529
2,Zone 2,24,Full ROI,15350,47981,608,1306,1378,2.06234107
1,Zone 1,25,Full ROI,15067,47894,655,1428,1530,1.06771083
1,Zone 1,26,Full ROI,14687,47851,668,1156,1403,1.027006965
4,Central Vein,27,Full ROI,22292,54428,206,336,1664,3.990060097
3,Zone 3,28,Full ROI,22129,54174,608,757,1093,2.801006074
